Priorité,Catégorie,Mot_Français,Langue,Mot_Local,Audio_Actuel,Audio_Correct,Type_Problème,Action
URGENT,maison,Toiture,shimaoré,outro,Gandilé_poutroumax.m4a,Outro.m4a,Inversion,"Inverser avec Torche locale"
URGENT,maison,Torche locale,shimaoré,gandilé/poutroupmax,Outro.m4a,Gandilé_poutroumax.m4a,Inversion,"Inverser avec Toiture"
URGENT,nature,arc en ciel,kibouchi,mcacamba,Bahari.m4a,À_CRÉER,Erreur_Audio,"Bahari=mer, trouver bon audio"
URGENT,nombres,Neuf,kibouchi,Civi,Foulou civi ambi.m4a,Civi.m4a,Inversion,"Inverser avec Dix-neuf"
URGENT,nombres,Dix-neuf,kibouchi,foulou civi ambi,Civi.m4a,Foulou civi ambi.m4a,Inversion,"Inverser avec Neuf"
URGENT,verbes,Couper du bois,shimaoré,oupasouha kuni,Manapaka.m4a,À_VÉRIFIER,Mauvaise_Correspondance,"Vérifier traduction correcte"
URGENT,verbes,Donner,shimaoré,ouva,Angouvavi.m4a,Ouva.m4a,Mauvaise_Correspondance,"Corriger référence audio"
URGENT,verbes,Suivre,kibouchi,mangnaraka,Havi.m4a,À_VÉRIFIER,Mauvaise_Correspondance,"Similarité 0.14, trouver bon audio"
URGENT,adjectifs,Fâché,kibouchi,méloukou,NON_RÉFÉRENCÉ,Méloukou.m4a,Audio_Existant,"Ajouter référence (fichier existe)"
URGENT,animaux,Fourmis,shimaoré,tsoussou,NON_RÉFÉRENCÉ,Tsoussou.m4a,Audio_Existant,"Ajouter référence (fichier existe)"
HAUTE,expressions,En haut,shimaoré,oujou,MANQUANT,Oujou.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,En bas,shimaoré,outsini,MANQUANT,Outsini.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Devant,shimaoré,mbéli,MANQUANT,Mbéli.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Derrière,shimaoré,nyouma,MANQUANT,Nyouma.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Loin,shimaoré,mbali,MANQUANT,Mbali.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Lundi,shimaoré,mfoumo rarou,MANQUANT,Mfoumo rarou.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Mardi,shimaoré,mfoumo nhé,MANQUANT,Mfoumo nhé.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Mercredi,shimaoré,mfoumo tsano,MANQUANT,Mfoumo tsano.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Jeudi,shimaoré,yahowa,MANQUANT,Yahowa.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Vendredi,shimaoré,idjimoi,MANQUANT,Idjimoi.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Samedi,shimaoré,mfoumo tsi,MANQUANT,Mfoumo tsi.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Dimanche,shimaoré,mfoumo vili,MANQUANT,Mfoumo vili.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Semaine,shimaoré,mfoumo,MANQUANT,Mfoumo.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Mois,shimaoré,mwézi,MANQUANT,Mwézi.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Année,shimaoré,mwaha,MANQUANT,Mwaha.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,En haut,kibouchi,agnabou,MANQUANT,Agnabou.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,En bas,kibouchi,ambani,MANQUANT,Ambani.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Devant,kibouchi,alouha,MANQUANT,Alouha.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Derrière,kibouchi,anfara,MANQUANT,Anfara.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Tout prêt,kibouchi,marini,MANQUANT,Marini.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Lundi,kibouchi,tinayini,MANQUANT,Tinayini.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Mardi,kibouchi,talata,MANQUANT,Talata.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Mercredi,kibouchi,roubiya,MANQUANT,Roubiya.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Jeudi,kibouchi,lahamissi,MANQUANT,Lahamissi.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Vendredi,kibouchi,djouma,MANQUANT,Djouma.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Samedi,kibouchi,boutsi,MANQUANT,Boutsi.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Dimanche,kibouchi,dimassi,MANQUANT,Dimassi.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Semaine,kibouchi,hérignandra,MANQUANT,Hérignandra.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Mois,kibouchi,fandzava,MANQUANT,Fandzava.m4a,Fichier_Manquant,"Créer audio"
HAUTE,expressions,Année,kibouchi,moika,MANQUANT,Moika.m4a,Fichier_Manquant,"Créer audio"
MOYENNE,animaux,Huître,shimaoré,gadzassi,Gadzassi ya bahari.m4a,Gadzassi.m4a,Mauvais_Nommage,"Nom fichier trop long"
MOYENNE,animaux,Lion,shimaoré,simba,Outsimba.m4a,Simba.m4a,Mauvais_Nommage,"Préfixe 'Ou' en trop"
MOYENNE,animaux,Pou,shimaoré,ndra,Strandrabwibwi.m4a,Ndra.m4a,Mauvais_Nommage,"Nom fichier très différent"
MOYENNE,corps,Cils,shimaoré,kove,Kové.m4a,Kove.m4a,Accent_Différent,"Harmoniser accent"
MOYENNE,famille,Frère,shimaoré,mwanagna,Moinagna mtroubaba.m4a,Mwanagna.m4a,Mot_Composé,"Simplifier nom fichier"
MOYENNE,famille,Papa,shimaoré,baba,Baba héli-bé.m4a,Baba.m4a,Expression_Complète,"Utiliser forme simple"
MOYENNE,famille,Sœur,shimaoré,mwanagna,Moinagna mtroumama.m4a,Mwanagna.m4a,Mot_Composé,"Simplifier nom fichier"
MOYENNE,nature,bananier,shimaoré,trindri,Trindari.m4a,Trindri.m4a,Orthographe,"Corriger orthographe fichier"
MOYENNE,nature,feuille,shimaoré,mawloini,MANQUANT,Mawloini.m4a,Fichier_Manquant,"Créer audio"
MOYENNE,nature,jacquier,shimaoré,m'fénéssi,M_fénissi.m4a,M_fénéssi.m4a,Orthographe,"Corriger orthographe fichier"
MOYENNE,nature,terre,shimaoré,trotro,Trotto.m4a,Trotro.m4a,Orthographe,"Corriger orthographe fichier"
MOYENNE,verbes,S'asseoir,shimaoré,ouketsi,NON_RÉFÉRENCÉ,Ouketsi.m4a,Audio_Existant,"Ajouter référence (fichier existe)"
MOYENNE,verbes,Vomir,shimaoré,ou raviha,NON_RÉFÉRENCÉ,Ouraviha.m4a,Audio_Existant,"Ajouter référence (similarité 0.94)"
MOYENNE,verbes,Éplucher,shimaoré,oukouwa,NON_RÉFÉRENCÉ,Oukouwa.m4a,Audio_Existant,"Ajouter référence (fichier existe)"
MOYENNE,verbes,Sembler,kibouchi,mamhiragna,NON_RÉFÉRENCÉ,Mampihiragna.m4a,Audio_Existant,"Ajouter référence (similarité 0.91)"
MOYENNE,verbes,Écouter,kibouchi,mitangréngni,NON_RÉFÉRENCÉ,Mitandréngni.m4a,Audio_Existant,"Ajouter référence (similarité 0.92)"
